id,first_name,last_name,email,role,status,email_verified,created_at,updated_at
1,Daniel,Figueroa,jeffreydoyle@example.net,USER,PENDING,True,2025-01-21 21:54:35,2025-02-10 21:54:35
2,Patricia,Miller,fjohnson@example.org,USER,ACTIVE,True,2025-04-10 13:10:39,2025-04-13 13:10:39
3,William,Johnson,jennifermiles@example.com,USER,ACTIVE,True,2024-03-11 23:14:37,2024-03-11 23:14:37
4,Shane,Ramirez,blakeerik@example.com,USER,ACTIVE,False,2024-03-02 11:26:28,2024-03-25 11:26:28
5,Joshua,Lewis,curtis61@example.com,USER,ACTIVE,True,2024-06-03 12:51:34,2024-06-11 12:51:34
6,Maurice,Baker,blairamanda@example.com,USER,ACTIVE,True,2025-07-02 12:34:13,2025-07-09 12:34:13
7,Andrea,Calderon,barbara10@example.net,USER,ACTIVE,True,2023-11-13 11:04:20,2023-11-20 11:04:20
8,Kendra,Galloway,michellejames@example.com,USER,ACTIVE,True,2024-03-08 06:27:43,2024-03-12 06:27:43
9,Mary,Martin,jason41@example.net,USER,ACTIVE,True,2025-01-19 00:08:49,2025-02-11 00:08:49
10,George,Daniel,stevennelson@example.net,USER,ACTIVE,True,2025-01-18 10:59:00,2025-01-21 10:59:00
11,Angela,Cohen,perezantonio@example.com,USER,ACTIVE,True,2025-02-28 18:23:56,2025-03-21 18:23:56
12,Joseph,Clark,jason76@example.net,INSTRUCTOR,PENDING,True,2024-07-20 20:23:02,2024-08-12 20:23:02
13,Douglas,Taylor,julie69@example.com,USER,ACTIVE,True,2024-09-03 15:44:55,2024-10-01 15:44:55
14,Jeffrey,Bright,ddavis@example.org,USER,ACTIVE,True,2024-06-20 10:13:59,2024-07-07 10:13:59
15,Courtney,Conner,ycarlson@example.com,USER,ACTIVE,True,2024-01-09 23:17:56,2024-01-11 23:17:56
16,Wendy,Rice,frazierdanny@example.net,USER,ACTIVE,True,2024-12-19 02:17:44,2025-01-06 02:17:44
17,Joseph,Davidson,cartereric@example.org,USER,ACTIVE,False,2025-04-18 11:30:25,2025-05-01 11:30:25
18,Nancy,Baker,williamrodriguez@example.net,USER,PENDING,False,2025-03-27 02:54:06,2025-03-28 02:54:06
19,Meagan,Romero,ericfarmer@example.net,USER,PENDING,True,2024-05-02 01:32:39,2024-05-02 01:32:39
20,Sandra,Sellers,tracy15@example.com,USER,ACTIVE,True,2025-05-10 00:46:47,2025-05-12 00:46:47
21,Brian,Humphrey,millertodd@example.org,USER,ACTIVE,True,2024-03-17 05:50:41,2024-03-23 05:50:41
22,Amanda,Martinez,karroyo@example.com,USER,ACTIVE,True,2025-04-26 00:46:56,2025-05-03 00:46:56
23,Monique,Henderson,sarahcampos@example.net,USER,ACTIVE,True,2024-10-27 02:40:57,2024-11-12 02:40:57
24,Jennifer,Ross,samuel87@example.org,INSTRUCTOR,ACTIVE,True,2024-02-16 11:51:28,2024-03-06 11:51:28
25,Jeffrey,Morgan,briannasmith@example.net,USER,ACTIVE,True,2024-03-23 19:25:33,2024-03-23 19:25:33
26,Brian,Jones,heathchad@example.org,USER,ACTIVE,True,2025-01-15 10:44:31,2025-02-01 10:44:31
27,Elizabeth,Lewis,jenniferkhan@example.net,USER,ACTIVE,False,2024-04-16 13:19:21,2024-04-22 13:19:21
28,John,Kennedy,glee@example.net,USER,ACTIVE,True,2024-09-14 09:21:24,2024-10-06 09:21:24
29,Michael,Jenkins,nuneztracey@example.org,USER,ACTIVE,True,2024-08-13 01:30:24,2024-09-02 01:30:24
30,Richard,Morgan,wrightjames@example.com,USER,ACTIVE,True,2023-10-30 08:01:56,2023-11-21 08:01:56
31,Robert,Ramirez,nancyjones@example.net,USER,ACTIVE,True,2023-12-31 03:19:03,2024-01-17 03:19:03
32,Brent,Kidd,novaksara@example.org,USER,ACTIVE,True,2023-11-28 07:16:52,2023-12-11 07:16:52
33,Richard,Olson,kbarrera@example.com,USER,ACTIVE,True,2024-01-20 10:23:38,2024-01-27 10:23:38
34,Tricia,Baker,smitchell@example.net,USER,ACTIVE,True,2023-09-14 22:18:33,2023-09-28 22:18:33
35,Angela,Higgins,jamesrobinson@example.org,USER,ACTIVE,False,2025-05-13 17:02:51,2025-05-31 17:02:51
36,Jill,Brown,brian97@example.net,USER,ACTIVE,True,2024-12-06 02:50:00,2024-12-14 02:50:00
37,Melissa,Moore,yorkcasey@example.org,USER,ACTIVE,True,2025-08-27 08:44:54,2025-09-21 08:44:54
38,Michelle,Powell,bethwilliams@example.org,USER,PENDING,True,2025-02-18 17:00:16,2025-03-17 17:00:16
39,Diane,Cunningham,sarah35@example.org,USER,ACTIVE,True,2024-08-03 21:02:56,2024-08-03 21:02:56
40,Randy,Powers,stephen10@example.com,USER,ACTIVE,True,2024-04-06 13:32:37,2024-04-30 13:32:37
41,Yolanda,Ferrell,medinawilliam@example.org,USER,ACTIVE,True,2025-01-07 17:22:40,2025-02-01 17:22:40
42,Michael,Jones,mikemoore@example.net,USER,ACTIVE,True,2025-09-07 03:20:45,2025-09-12 03:20:45
43,Kevin,Riggs,contrerasangela@example.net,USER,ACTIVE,True,2025-03-12 17:03:54,2025-04-03 17:03:54
